;April 21, 1997: Danske Punktskriftnëvn - 1993
;DANISH TABLE (with the Danish Braille Authority's 1993 Braille Code Changes)
;format type|match|replace
;match strings MUST be in lexical order!
ca=|
kc=1
gm=2
;hd=danish.dic
;hm=39c:\nfbtrans\danish.err
;pw=34   ;page width (usable cells per across line)
;cl=28   ;centered lines width (maximum number of cells to center [pw-6])
;pl=26   ;page length (number of lines on each braille page)
21|!|6
25|"|7
25|"|7
25|"|7
25|"|7
1|%)|J0,0
21|%|J0
21|&|,&
21|'|@
21|(|8     
21|)|0
21|***|89990
21|**|8990
21|*1|89#A0
21|*2|89#B0
21|*3|89#C0
21|*4|89#D0
21|*5|89#E0
21|*6|89#F0
21|*7|89#G0
21|*8|89#H0
21|*9|89#I0
21|*|890
21|+|6
21|,|1       
21|-|-
21|--|--
21|.|'
21|//|,9
1|/HVORNÜR|,//N
1|/HVORNèR|,//N
1|/HVOR|,//
1|/|/
19|0|J
19|1|A
19|2|B
19|3|C
19|4|D
19|5|E
19|6|F
19|7|G
19|8|H
19|9|I
21|:|3
21|;|2
21|=|7
2|>A|,A
2|>B|,B
2|>C|,C
2|>D|,D
2|>E|,E
2|>F|,F
2|>G|,G
2|>H|,H
2|>I|,I
2|>J|,J
2|>K|,K
2|>L|,L
2|>M|,M
2|>N|,N
2|>O|,O
2|>P|,P
2|>Q|,Q
2|>R|,R
2|>S|,S
2|>T|,T
2|>U|,U
2|>V|,V
2|>W|,W
2|>X|,X
2|>Y|,Y
2|>Z|,Z
2|>Ü|,*
2|>è|,*
21|>|,
21|?|5
