;April 21, 1997: Norsk Punktskrift--Huseby utedanningssenter for synshemmede,
;Oslo 1979
;NORWEGIAN TABLE, Norwegian Guidelines by the Huseby Training Center for the
;Visually Impaired, Oslo, Norway - 1979
;format: type|match|replace
;match strings MUST be in lexical order!
kc=1
gm=2
ca=,|;,
21|!|6
25|"|8
25|"|0
25|"|,8
25|"|,0
1|%"|#J0,0
26|%|#J0
21|&|+
24|'|"
21|(|7
21|)|7
21|*|,9
21|+|6
21|,|1
21|---|-'
21|-|-
21|--|--
21|...|'''
22|.|'
21|/|/
19|0|J
19|1|A
19|2|B
19|3|C
19|4|D
19|5|E
19|6|F
19|7|G
19|8|H
19|9|I
21|:|3
21|;|2
21|<|8
21|=|7
21|>|0
21|?|5
21|@|@
1|A|A
1|A/|A"1
2|ABSOLUTT|ABS
2|AKKURAT|AKR
2|ALDRI|AI
2|ALLEREDE|ALR
2|ALLES|AES
2|ALLE|AE
2|ALLTID|ATD
3|ALMINNELIG|ALML
2|ALTFOR|AF
2|ALTSÜ|A*
2|ALTSè|A*
3|ANDRE|A(
3|ANNEN|A<
2|ANNERLEDES|ANR
3|ANNET|A+
2|ANNLEIS|ANL
2|AT|A
1|B|B
1|B/|B"1
2|BEGES|BGS
2|BEGE|BG
2|BLANT|BL
2|BLE|B
2|BLIR|BR
2|BLITT|BT
2|BÜDE|BD
2|BèDE|BD
1|C|C
1|C/|C"1
1|D|D
1|D/|D"1
2|DEG|DG
2|DEM|
2|DENNES|&NES
2|DENNE|&NE
2|DENS|&S
2|DEN|&
2|DE|?
10|DE|?
2|DERES|D(S
2|DERE|D(
2|DERETTER|)Z
2|DERFOR|)F
2|DERMED|)%
2|DEROVER|)X
2|DERPÜ|)P
2|DERPè|)P
2|DERSOM|)S
2|DERTIL|)T
2|DERUNDER|)Q
2|DERVED|)V
3|DER|)
2|DESSE|?S
2|DESSUTEN|DSU
2|DESSVERRE|DSV
10|DES|?S
2|DETS|!S
2|DETTES|!TES
2|DETTE|!TE
2|DET|!
2|DIFOR|DF
2|DIN|DN
2|DISSES|DSS
2|DISSE|DS
2|DITT|DT
2|DIVERRE|DV
2|DU|D
1|E|E
1|E/|E"1
2|ELLERS|ES
2|ELLER|E
2|ENDA|EA
2|ENDES|<?S
2|ENDE|<?
10|ENDES|<?S
10|ENDE|<?
2|ENES|$S
2|ENE|$
